ipsrc,ipdst,port,proto,State,LabelName,source,id
10.0.2.106,195.113.214.226,80,tcp,"00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X*g*X00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X+g+g+g+g+g+g+g+X,g,g,X+G+g+x+x+x+g+X,g,X0000X+g+g+g+g+g+g+X0000000X,G,g,x,X.x,x,x.x,G,X.X*X,g,g,x,X*X,x,G,G,X*X,x,G,g,X0X,x,x,g,g,g,X*X,g,g,g,X*X,x,G,G,X*X,G,x,G,X+x,x,G,X0000000X,g,g,g,X*X,g,g,g,X*X,g,g,g,X*x+X,g,g,g,X0X,g,g,g,X*X,g,g,g,X*X,g,g,g,X*X,g,g,g,X*X,g,g,g,X*X,g,g,g,X*X,g,g,g,X*X,g,g,g,X0000X,g,g,g,X*X,g,g,g,X*X,g,g,g,X*X,g,g,g,X*X,g,g,g,X*X,g,g,g,X*X,g,g,g,X*X,g,g,g,X00X,x,x,x,X*X,G,x,G,X*X,g,g,g,X*X,g,g,g,X00000X,g,g,g,X*X,g,g,g,X*X,g,g,g,X*X,g,g,g,X000X,g,g,g,X*X,g,g,g,X*X,g,g,g,X*X,g,g,g,X000X,g,g,g,X*X,g,g,g,X*X,X+X,g,g,g,X*X,g,g,g,X00X,g,g,g,X*X,g,g,g,X*X,g,g,g,X+g+X,g,g,g,X0000X,x,g,G,X*X,x,g,g,g,X*X,g,g,g,X*X,g,g,g,X000000X,g,g,G,X*X,x,G,G,X*X,G,g,G,X*X,x,x,G,g,X0000X,x,x,x,Y*X,G,g,g,x,G,x,x,g,g,X*X,G,x,x,X*X,x,G,G,g,X00X,h,g,g,X*X,g,g,g,X*X,G,g,g,X*X,x,g,G,X0X,g,g,g,X*X,g,h,g,X*X,g,g,g,X*X,h,g,g,X*X,g,g,g,X*X,g,g,g,X*X,g,g,g,X*X,g,g,g,X00000X,g,g,g,X*X,g,g,g,X+x*X,g,g,g,X*X,g,g,g,X0X,x,G,G,X*X,g,G,g,X*X,x,G,G,X*X,G,g,x,X000000000X,g,g,g,Y*X,G,H,g,X*X,G,G,h,X*X,G,G,G,G,x,g,g,g,X*X,g,g,g,Y*X,g,G,G,X*X,g,g,g,X+X,G,g,Y+X,g,g,g,Y0X,g,g,g,X*X,g,g,g,X*X,X.x,G,g,g,X*X,g,g,g,X0000000000000000X,g,g,X+X,G,G,x,X*X,x,g,g,X*X,g,G,G,X*X,x,x,x,X*X,G,G,g,X*X,G,G,g,X*X,x,x,G,G,X0000X,g,g,g,X*X,g,g,g,X*X,g,h,g,X*X,g,g,g,X0000000000000X,g,x,x,X*X,g,G,x,x,x,X*X,x,G,g,X*X,g,G,x,X00000X,G,G,G,X*X,G,x,g,X*X,G,H,x,X*X,x,G,x,X000000X,G,g,G,X*X,g,g,g,X*X,G,x,x,g,g,g,X*X,x,x,g,g,g,X0X.X,X.X,X.X,X.X,X.X.X.X,X.X,X.X*X.X,X.X,X.X,X.X,X.X*X.X,X.X,X.X,X.X,X.X*X.X,X.X,X.X,X.X,X.X0000000000000X,x,G,G,X*x+X,x,g,G,X*X,x,x,x,X*X,g,x,G,X*X,G,g,G,X*X,G,G,G,X*X,x,g,G,X*X,x,x,g,W000W+F+h+f+Z0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000Z+i+z+",Botnet,2013-11-06_capture-win6.pcap.tsv,42136
10.0.2.29,82.129.25.147,53,udp,.,Botnet,2013-08-20_capture-win15.pcap.tsv,25439
10.0.2.29,209.179.179.18,53,udp,",",Botnet,2013-08-20_capture-win15.pcap.tsv,12453
10.0.2.22,78.31.111.134,25,tcp,"+Y.Y*H*y00y00y00000Y*y*y*y0y*y*Y+Y0y*y*y00H0y*y*Y,y,y,y,Y+Y*H*y*y*Y0y000Y*y*y0y*y*y*y00Y+H+y,Y*y*h*y*Y+Y*Y,Y*Y,Y0Y*Y*H0H*y00y*y*y0Y.Y*h*y*y*H*y*Y+Y0y*y*y*y*y00Y*y*Y0y*Y+Y0Y*y*y*Y00Y*y0Y*Y000H00Y*Y0y000y*y*Y+H+Y*y*y*Y0y*y*y0H0y*y*y0y*y*y*y*y0Y+Y*y*y*y0y00y0000y0y*y*H*Y*y*Y0000y*H*Y+y+Y*y00y0000y0H0H0y0y*y0y*y*Y00y000y0000Y*H*y0y*H*y*Y0h0y*y*Y000y0Y,y,Y0y*y000y0y000H0000y0y0000Y*y*y00y*Y0000y0y*y00Y*Y00y*y*Y0y0Y*Y00y0000Y*Y000y*Y000000y00y*H*y0Y*Y*h*H0y00y0y00Y*H*y*Y0y*y0y00y*y0y*y0h0y*y*Y000H0000y0H00y*y00y0000H00000y0H0H0H0H*Y+y+H+Y,Y*y*y*y0Y*y*y0y*y*H*y*Y+y+Y0Y*y*y*y*y*Y0y*y*Y+y*Y00y0y*y*Y000000Y0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000Y*y000y0Y*Y*Y000y0y00h00h00y00000y00y*y000y*Y0000y000y*y*y0Y00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000Y00y000y0y000y000000Y*y*Y00000y0Y+Y*y0y0000y000y0Y,Y*Y0000Y*Y0000Y*Y0H00y00000Y0y0H0H0y00y*Y+Y0y00y000Y*Y000H000",Botnet,2013-10-01_capture-win8.pcap.tsv,37200
10.0.2.15,104.83.101.239,80,tcp,",",Normal,2017-04-30_win-normal.pcap.tsv,70299
10.0.2.22,94.46.6.11,80,tcp,"0000000y000y0Y.Y,H+Y*Y*y00y0000Y*Y00Y*Y0Y+y*y*y*H*y*Y0Y+Y*y*y0Y*y*y0y*y0H0Y+Y.Y+Y,y,Y*Y+Y*y*Y00y*Y000Y*y0y*y*H*y*y*Y0y00y*y0y0Y*y*Y00000Y*y000Y*y*y*y*H*h*Y0Y*y*Y*H*H*y000Y*Y+Y*y*Y00000Y*Y,Y0Y*y*y00Y*Y00Y*Y*Y+Y0y0y*y0Y*Y00y*y0y000Y+Y00y0y00y000000y0000000000Y+Y000000Y*Y000y0y*y0y0H0H0y000y0y*Y00000000y0y00y*y0y00000",Botnet,2013-10-01_capture-win8.pcap.tsv,39941
10.0.2.29,211.13.204.4,25,tcp,0000000000000000000,Botnet,2013-08-20_capture-win15.pcap.tsv,13361
10.0.2.29,208.82.126.244,25,tcp,"00000000000000000Z.Z00Z.Y,Y.Y0Y.Y,Y.Y,Y.Y,Y.Y+Y.Y,Y,Y.Y,Y.",Botnet,2013-08-20_capture-win15.pcap.tsv,12027
10.0.2.112,75.130.183.216,8971,udp,00000,Botnet,2013-10-01_capture-win12.pcap.tsv,30493
10.0.2.22,85.95.247.253,25,tcp,"*y*Y0y*Y00000000000000000000Y*Y,y+H+H+y*y*y*y*y*y+y*y*y*H*y*y*y*H*Y+y*y*Y00000000000000000Y+Y*y*Y+Y*H*H*y0Y*Y00000000000000000000Y*y0Y*Y0000000000000000000Y*y*y*Y0H0Y*Y0Y000000000000000000000Y*y00Y+y*Y0000000Y+Y*Y00000000000Y0y*H*Y00000000000Y0y*y*Y00000000000000000000Y*Y00Y*Y0000000000000000000000Y*H0y0y*Y0Y*Y0y*Y00000000000000Y*Y,Y000y0y0Y*y*Y000y*y*y*y*Y000y00y00000Y0y*Y+y*H*Y000000000000000000000Y000y0Y0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000Y0Y00000000000000000000000Y*Y00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000Y000y000000000000000000Y*",Botnet,2013-10-01_capture-win8.pcap.tsv,39393
10.0.2.29,64.43.233.22,25,tcp,*Z.,Botnet,2013-08-20_capture-win15.pcap.tsv,19394
10.0.2.29,70.182.194.130,25,tcp,*V.,Botnet,2013-08-20_capture-win15.pcap.tsv,22663
10.0.2.112,72.12.88.244,80,tcp,"z0000I000z0z0z000z0Z+Z0z000Z,z,Z*W,S,z,I,z,s+W,e,z+Z0Z*z*z0Z+Z00Z*Z0z*z0Z*z*I*z*Z0i0z0Z*Z*I*z0Z*z*z*z*Z*z*z*z*i*i*Z*z*z*I*z0z*z*Z*Z00z0z*I*I*z*z*I*z0Z,Z*z*Z+z*z*Z.Z0z*z*I*z*z*I*z*z*z*z*I*z+z*Z+Z*z*I*z0z*Z+Z*z*z*Z*z*I*z*z*z*z*z*Z+z+Z*I*Z+z*I*z*z*Z,Z*Z+z*Z0z*Z+Z*z*z*z*z*z*Z0Z+z*z*z*Z,I,Z*Z+z+Z*z*Z+z*Z,Z*z*Z+z*Z,Z*I*z*I*z*z*Z+i+z*z*z*I*z*z*I*i*z*Z*I*z*z*Z,z+Z*z*I*z*z*Z+Z*z*z*Z+Z*z*z*I*Z+Z*Z+Z*z*z*z*z+Z0Z*z+Z*I*z*Z*z*z*I*z+z*z*Z0Z*z+z*z+Z*i*I*z*z*z*z*z*z*I*z*z*z*I*z*I*z+z*z*Z.Z*i*z*z*z*I*Z*Z*z*z*z+z+z*Z0Z,Z0z*Z+Z*Z+Z*z*Z+z*z*I*z*z*z0Z*Z*z00Z*z*z*z0Z*z*z*z*I*Z.Z+z,Z*z0z*z*I*Z+z*z*z0z*I*I*z*Z0i0z*z*z*z*z*z*i*Z0Z,Z*I*Z,Z000000000000000Z+Z*z*Z+Z0Z*z*z*I*Z00z*z0Z+Z*i*I*z*Z*z+Z0z*Z+Z*z0z*i*z*z*z*z*Z+Z*I*I*z0z*I*z*z0z*z*I*z0Z*z*Z+Z000Z*I*z*z*z*z0z*z*z00Z*Z*z000Z,Z0Z*z*I*Z+Z0z*I*z*z*z*z*z*I*z*z0Z*z*z0Z*z+Z*z0Z+z*z*z*z*z*I*I*z0z*I*z*z0I0z*Z*Z0z*z*I*z*z*I*z*Z0z*Z,Z0I0z*I*z*Z0z*I*z*z*z*z*z*z0Z*Z0z*Z+Z*z*Z00z0I0Z+Z00I0z*z*z00Z*i*z*z*z*Z+Z*z*z*Z+Z*z0Z+Z000z0Z*Z000Z*Z0Z+Z*I*z*I*Z+Z*z*z*Z+Z*z*z*Z*Z*z0z*z*z*Z00z0z*i*z*Z00z*z*z*Z000Z+Z*z*Z0000000000000000000000000000000000000000Z0000z00z*Z+z+Z*z0z*z*z0z*Z00000Z*Z00000Z00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000Z*z00z0z0z0i0I0z00z0000z00z0z000I0000",Botnet,2013-10-01_capture-win12.pcap.tsv,30374
10.0.2.29,165.134.39.107,53,udp,0000000000000000,Botnet,2013-08-20_capture-win15.pcap.tsv,2990
10.0.2.106,126.112.195.66,9675,udp,0000000000000000000000000000000000000000000000000000000000000000000000000000000000,Botnet,2013-11-06_capture-win6.pcap.tsv,41103
10.0.2.29,23.24.78.99,25,tcp,",",Botnet,2013-08-20_capture-win15.pcap.tsv,16465
10.0.2.103,80.213.146.163,6723,udp,00w0w00w0f0f0f0f0f0f0f0f0f0f0i0F0F0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0i0F0F0f0f0f0f0f0f0f0f0f0f0f0f0f0f0F0F0f0f0f0F0w0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0i0F0A0,Botnet,2014-03-12_capture-win3.pcap.tsv,67327
