ipsrc,ipdst,port,proto,State,LabelName,source,id
10.0.2.29,219.133.0.2,53,udp,00000000000000000000V0000,Botnet,2013-08-20_capture-win15.pcap.tsv,16159
10.0.2.29,68.169.47.32,53,udp,*V000000000000000000V0,Botnet,2013-08-20_capture-win15.pcap.tsv,21616
10.0.2.22,216.231.132.210,80,tcp,".Y,y,Y00y0Y*y*Y+Y00y0y000y00Y*H*Y0y*y*y*y0Y*Y000Y,y,H,Y0y*y*y*y*y*Y+Y*y*y+Y000Y*Y00y0y*y0Y+Y*Y,Y*y*Y*Y*H0y0y*y*y*y0y0Y+Y*y*y*H*y*Y00Y*Y000y*y*Y000y0y0Y+Y00Y*Y0H0y0000y0y0Y00000000Y*y*y*h*y*Y0y000y00000Y0Y*Y0y*y0H0y00y0y0000Y*Y00Y+Y0000y0y000Y*Y00y000y00000y000Y*Y0y*Y00000y0y*Y00000y00Y*y*y*Y0000y00Y*Y00000y0y*y*y*Y+Y0Y,Y0y0y000H0000y0000000000Y0y*H*y00H00y*y*y00y0Y000000000Y0y0000y00000000Y*Y000000y0000Y*Y00000000Y*Y00000y0000000y0Y*Y0Y0000000000Y*Y00y0Y00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000Y000000Y*y*y*y00y00000000H0000000Y*y0y00000y000y0Y*Y00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000Y000000y0000000000000000000y0000000000y000y0000y000y00y000000Y+Y00000000H000000000Y,Y0",Botnet,2013-10-01_capture-win8.pcap.tsv,35412
10.0.2.29,130.156.133.2,53,udp,.,Botnet,2013-08-20_capture-win15.pcap.tsv,1985
10.0.2.29,202.147.35.72,25,tcp,*Y.,Botnet,2013-08-20_capture-win15.pcap.tsv,8437
10.0.2.29,65.36.160.65,53,udp,.S000000000000000000,Botnet,2013-08-20_capture-win15.pcap.tsv,19924
10.0.2.22,209.222.7.227,80,tcp,000000000000000000000000Y.Y000000000000Y.Y000000000000Y.Y000000000000Y.Y000000000000Y.Y0Y000000000000000000000000000000000000Y.Y0000000000000Y.Y0000000000000Y.S0000000000000,Botnet,2013-10-01_capture-win8.pcap.tsv,35135
10.0.2.29,78.46.98.73,25,tcp,",v,V,v,",Botnet,2013-08-20_capture-win15.pcap.tsv,24535
10.0.2.29,216.17.143.185,53,udp,0000000000000000000000000,Botnet,2013-08-20_capture-win15.pcap.tsv,14712
10.0.2.22,141.101.116.177,80,tcp,"00000000Z+Z*i*Z,Z*z*Z0",Botnet,2013-10-01_capture-win8.pcap.tsv,33694
