ipsrc,ipdst,port,proto,State,LabelName,source,id
10.0.2.112,89.221.250.12,80,tcp,0000000000x000000000000000000000000000000000000x000000000000X*Y00000000000000000000000000000000000000000000000000000000000Y*h*,Botnet,2013-10-01_capture-win12.pcap.tsv,32324
10.0.2.29,63.241.174.36,53,udp,.V0000000S.s.S000000000000000000S.S00S.,Botnet,2013-08-20_capture-win15.pcap.tsv,18654
10.0.2.22,222.231.1.69,80,tcp,",Y*y*y*y*Y0y0Y0000000Y*Y,Y*y*Y*H*Y+Y00y*y00Y*y+Y00Y*y0H*y000Y*Y+Y*y0Y000000000000000Y00H0H0y*y0y0000h0000y*y000y00y*y0y*H*h*Y00000000y0000y0y0Y000000y0y0000y00y000y00000Y*Y00y000Y*Y00y00000Y*y00H00y0y*y0y0000H000000H00000H000000y0y0y00000Y*y*Y0Y00000000000000Y0y*Y000H000Y*Y000y0Y00000000000y0000y0y000y00000y000000000y0000Y+Y00000000000000Y00y0000Y*Y000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000Y00y000000y000y0Y000000y00000000000000000Y00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000Y000y000000000H00000000h00000000y00000000000y00Y00000000000000",Botnet,2013-10-01_capture-win8.pcap.tsv,35611
10.0.2.29,91.109.2.29,53,udp,.a.A.A.,Botnet,2013-08-20_capture-win15.pcap.tsv,26541
10.0.2.29,8.31.233.78,25,tcp,000Y.Y00000000000000000Z*,Botnet,2013-08-20_capture-win15.pcap.tsv,24686
10.0.2.29,210.55.4.10,53,udp,000000V*,Botnet,2013-08-20_capture-win15.pcap.tsv,13287
10.0.2.22,74.208.102.126,80,tcp,"0000000000Y,Y00000000000Z,Y00z000000000Z,Z*y00y000000000R,Z00y000000000Y,Y*S00000000000Z*I*y0Z0000000000Y0Z000000000000F0000000000Z*z0Z0000000000000f0000000000000I000000000000I0000000000000W0Z000000000000R*z*z0Y000000000000I0000000000000",Botnet,2013-10-01_capture-win8.pcap.tsv,36960
